labels,precision,recall,fscore,support
AbstractFactory,0.8536363636363635,0.9208333333333334,0.8790111307680968,8
Adapter,0.9136507936507936,0.6266666666666667,0.7314333628188118,9
Builder,0.7580599955599956,0.8400000000000001,0.7857394542311757,9
Decorator,0.8658444333444333,0.74,0.7814098118270955,10
Facade,0.6269916267942583,0.7727272727272727,0.682761869709238,10
FactoryMethod,0.8160642135642135,0.7044444444444445,0.7509912034989433,9
Memento,0.7973415473415473,0.8788888888888889,0.8328166265466036,9
Observer,0.7153117715617715,0.9400000000000001,0.8094965903661556,10
Prototype,0.8832070707070707,0.7911111111111111,0.8251873891502374,9
Proxy,0.6769264069264069,0.5966666666666667,0.6283738200224269,9
Singleton,0.7718253968253967,0.6066666666666666,0.6732714138286894,9
Visitor,0.9633333333333333,0.9266666666666667,0.9409821903242956,9
