labels,precision,recall,fscore,support
AbstractFactory,0.7335875235875235,0.7444444444444445,0.7282421628938656,8
Adapter,0.6405699855699856,0.5544444444444444,0.5812500502593382,9
Builder,0.7356565656565656,0.6833333333333333,0.7046085802742148,9
Decorator,0.5935397935397936,0.6799999999999999,0.6289439886626588,10
Facade,0.4253552003552004,0.5627272727272727,0.4792089420876606,10
FactoryMethod,0.6633982683982684,0.6822222222222222,0.6489503437738732,9
Memento,0.8136507936507936,0.6444444444444446,0.712906899601946,9
Observer,0.7588147963147964,0.8400000000000001,0.7908153123256099,10
Prototype,0.6722385947385947,0.6388888888888888,0.6490232711904538,9
Proxy,0.42525252525252527,0.3744444444444444,0.39201355661881976,9
Singleton,0.559017094017094,0.5355555555555556,0.5325355813776866,9
Visitor,0.9746031746031745,0.6611111111111111,0.7783330214676963,9
