labels,precision,recall,fscore,support
AbstractFactory,0.7907892107892109,0.9555555555555555,0.8598357961865837,8
Adapter,0.8968253968253969,0.5277777777777778,0.6473856209150326,9
Builder,0.7728996003996004,0.8300000000000001,0.7922545882648183,9
Decorator,0.8585464535464535,0.71,0.7616717411602323,10
Facade,0.555955710955711,0.7027272727272728,0.6147643696083941,10
FactoryMethod,0.822965367965368,0.6622222222222223,0.7238757321110262,9
Memento,0.740378787878788,0.8466666666666669,0.7817580314422421,9
Observer,0.6915384615384615,0.93,0.7888659166920037,10
Prototype,0.7279797979797981,0.731111111111111,0.722578750798565,9
Proxy,0.6157792207792208,0.5577777777777777,0.5803724998771437,9
Singleton,0.8311111111111111,0.5144444444444445,0.6059610513325683,9
Visitor,0.8860858585858585,0.8844444444444445,0.8779615259181822,9
