labels,precision,recall,fscore,support
AbstractFactory,0.8390404040404039,0.888888888888889,0.858514423313185,8
Adapter,0.7953174603174604,0.6377777777777778,0.6972884416924665,9
Builder,0.758397435897436,0.8,0.7707550069469575,9
Decorator,0.8059415584415583,0.77,0.7730457940752058,10
Facade,0.6563469863469863,0.6527272727272727,0.644584398976982,10
FactoryMethod,0.8123701298701299,0.6688888888888889,0.7284290382819795,9
Memento,0.8833730158730159,0.7566666666666667,0.8111455108359132,9
Observer,0.7632894882894884,0.8800000000000001,0.8122937184859383,10
Prototype,0.7620240870240871,0.8011111111111111,0.7773461321287407,9
Proxy,0.548853923853924,0.6177777777777778,0.5750525275639693,9
Singleton,0.5949314574314574,0.5822222222222222,0.5831148950808392,9
Visitor,0.8719696969696971,0.8844444444444445,0.8756267227784255,9
