labels,precision,recall,fscore,support
AbstractFactory,0.8834848484848484,0.9333333333333333,0.9043004570249152,8
Adapter,0.6586646686646687,0.6488888888888888,0.6448316656945006,9
Builder,0.8148232323232325,0.7977777777777778,0.801586720812727,9
Decorator,0.7787878787878788,0.79,0.7807473228525861,10
Facade,0.5718939393939394,0.6236363636363638,0.5859942834942834,10
FactoryMethod,0.8257720057720057,0.681111111111111,0.7379099710059462,9
Memento,0.8122105672105672,0.8266666666666668,0.8157580438735372,9
Observer,0.8327922077922079,0.8800000000000001,0.8510480747322854,10
Prototype,0.7068434343434343,0.6977777777777777,0.6964516907241366,9
Proxy,0.6212337662337662,0.5844444444444445,0.6004260651629074,9
Singleton,0.658990453990454,0.6155555555555556,0.6214803948762085,9
Visitor,0.9677777777777777,0.9155555555555555,0.93890350877193,9
