labels,precision,recall,fscore,support
AbstractFactory,0.8746212121212121,0.9333333333333333,0.8966106442577031,8
Adapter,0.8077344877344877,0.6177777777777778,0.6874984028699199,9
Builder,0.7740384615384616,0.8400000000000001,0.7976180142676306,9
Decorator,0.8595313020313021,0.76,0.7889286088195768,10
Facade,0.6399961149961151,0.7127272727272727,0.666147232262201,10
FactoryMethod,0.8260101010101011,0.7033333333333333,0.7535308860386258,9
Memento,0.785588023088023,0.8466666666666669,0.806624158435304,9
Observer,0.7407828282828283,0.9100000000000001,0.8128181505755878,10
Prototype,0.8039713064713065,0.7911111111111111,0.7906998474446987,9
Proxy,0.6081818181818182,0.6066666666666667,0.606313511050353,9
Singleton,0.7918506493506493,0.5844444444444444,0.6561865258924081,9
Visitor,0.9163636363636366,0.9166666666666667,0.911576858813701,9
