labels,precision,recall,fscore,support
AbstractFactory,0.7570748695748697,0.8875,0.8124476127736997,8
Adapter,0.6894660894660894,0.6255555555555555,0.6526364931937687,9
Builder,0.8023737373737374,0.8277777777777778,0.8125936052251843,9
Decorator,0.6657581307581307,0.74,0.6976467354156141,10
Facade,0.5754069541569542,0.6436363636363638,0.6019946410060826,10
FactoryMethod,0.6575,0.47888888888888886,0.5427875392581274,9
Memento,0.8104933954933955,0.8166666666666667,0.8093374469266246,9
Observer,0.7952797202797203,0.8800000000000001,0.8273162387484637,10
Prototype,0.8411111111111111,0.6911111111111111,0.742623224728488,9
Proxy,0.5240218115218116,0.48444444444444434,0.4966540081118086,9
Singleton,0.6122474747474748,0.5033333333333333,0.5372575489525954,9
Visitor,0.9069264069264069,0.8933333333333333,0.8972222222222224,9
