labels,precision,recall,fscore,support
AbstractFactory,0.9466666666666667,0.9333333333333332,0.9363691090471278,8
Adapter,0.6881204906204907,0.7188888888888888,0.6898565665500649,9
Builder,0.8099747474747474,0.8088888888888889,0.8028382453459854,9
Decorator,0.7372261072261072,0.78,0.7518050065876153,10
Facade,0.6460864625570508,0.6918181818181818,0.6550930610073833,10
FactoryMethod,0.7487237762237763,0.8055555555555556,0.7647076536182742,9
Memento,0.9336363636363636,0.8466666666666669,0.8797852474323061,9
Observer,0.8443256743256743,0.9000000000000001,0.8633057280883369,10
Prototype,0.8519336219336221,0.8111111111111111,0.8253823953823956,9
Proxy,0.6386724386724387,0.5466666666666666,0.5808170604765032,9
Singleton,0.7913339438339437,0.6877777777777777,0.7279340721795964,9
Visitor,0.990909090909091,0.8922222222222225,0.9360662686127084,9
