labels,precision,recall,fscore,support
AbstractFactory,0.9488888888888889,0.9333333333333333,0.9383083935328516,8
Adapter,0.726921966921967,0.6677777777777778,0.6776733714080597,9
Builder,0.786392773892774,0.85,0.8108959156785245,9
Decorator,0.8215728715728716,0.76,0.7792142455068152,10
Facade,0.6782004596710479,0.7427272727272728,0.69909535289048,10
FactoryMethod,0.8016558441558441,0.8033333333333333,0.7939204070783019,9
Memento,0.8726301476301476,0.8477777777777777,0.851890246425177,9
Observer,0.799437506937507,0.9200000000000002,0.849951596839469,10
Prototype,0.8593065268065269,0.8111111111111111,0.8295885760864223,9
Proxy,0.6502747252747252,0.6166666666666666,0.6267935105531014,9
Singleton,0.8106637806637806,0.6777777777777778,0.731844070961718,9
Visitor,0.990909090909091,0.9255555555555557,0.9551839156715319,9
